"Reporting.Area","MMWR.YEAR","MMWR.WEEK","All.causes.by.age..years..All.Ages","All.causes.by.age..years..All.Ages.flag","All.causes.by.age..years..GE.65","All.causes.by.age..years..GE.65.flag","All.causes.by.age..years..45.ÛÒ64","All.causes.by.age..years..45.ÛÒ64.flag","All.causes.by.age..years..25.ÛÒ44","All.causes.by.age..years..25.ÛÒ44.flag","All.causes.by.age..years..1.ÛÒ24","All.causes.by.age..years..1.ÛÒ24.flag","All.causes.by.age..years..LT.1","All.causes.by.age..years..LT.1.flag","Total","Location.1"
"3731","Bridgeport CT",2014,29,31,"",21,"",7,"",1,"",1,"",1,"",NA,"Bridgeport CT
 (41.1818813860005 73.19126911399962)"
"3732","Pittsburgh PAå¤",2014,29,43,"",39,"",2,"",1,"",1,"",NA,"",NA,"Pittsburgh PA
 (40.438343044000476 79.99746553899968)"
"3733","Lynn MA",2014,29,10,"",7,"",2,"",1,"",NA,"",NA,"",NA,"Lynn MA
 (42.46370266800045 70.95021669199963)"
"3734","Fort Wayne IN",2014,29,98,"",59,"",27,"",8,"",NA,"",4,"",2,"Fort Wayne IN
 (41.080263035000485 85.13830990099967)"
"3735","Santa Cruz CA",2014,29,23,"",12,"",10,"",1,"",NA,"",NA,"",4,"Santa Cruz CA
 (36.974020590000464 122.03094750099973)"
"3736","Glendale CA",2014,29,17,"",12,"",4,"",1,"",NA,"",NA,"",3,"Glendale CA
 (34.146330203000446 118.24863950799971)"
"3737","Schenectady NY",2014,29,23,"",15,"",7,"",NA,"",NA,"",1,"",1,"Schenectady NY
 (42.8122500820005 73.94101987199963)"
"3738","Spokane WA",2014,29,61,"",39,"",12,"",4,"",4,"",2,"",4,"Spokane WA
 (47.65725655300048 117.41227666799972)"
"3739","Albany NY",2014,29,46,"",29,"",13,"",1,"",2,"",1,"",1,"Albany NY
 (42.65155347600046 73.75520562899965)"
"3740","Chattanooga TN",2014,29,78,"",55,"",18,"",4,"",NA,"",1,"",1,"Chattanooga TN
 (35.04644289300046 85.30945730199966)"
"3741","Boise ID",2014,29,45,"",38,"",4,"",1,"",1,"",1,"",2,"Boise ID
 (43.60698392100045 116.1934057949997)"
"3742","Cincinnati OH",2014,29,87,"",54,"",18,"",7,"",3,"",5,"",NA,"Cincinnati OH
 (39.1071305910005 84.50412975199964)"
"3743","Newark NJ",2014,29,28,"",18,"",9,"",NA,"",NA,"",1,"",NA,"Newark NJ
 (40.73197019100047 74.17420658799966)"
"3744","Las Vegas NV",2014,29,239,"",152,"",57,"",23,"",3,"",4,"",13,"Las Vegas NV
 (36.17191313400048 115.13996564999968)"
"3745","Jersey City NJ",2014,29,23,"",14,"",8,"",NA,"",1,"",NA,"",1,"Jersey City NJ
 (40.71748199500047 74.04384854999967)"
"3746","Colorado Springs CO",2014,29,80,"",55,"",15,"",8,"",2,"",NA,"",2,"Colorado Springs CO
 (38.83343141300048 104.82180632899968)"
"3747","Rockford IL",2014,29,48,"",30,"",16,"",1,"",NA,"",1,"",5,"Rockford IL
 (42.2669016910005 89.07834897499964)"
"3748","Montgomery AL",2014,29,39,"",22,"",14,"",2,"",1,"",NA,"",3,"Montgomery AL
 (32.38012350200046 86.30062589499965)"
"3749","Baton Rouge LA",2014,29,101,"",63,"",24,"",10,"",2,"",2,"",5,"Baton Rouge LA
 (30.44334106600047 91.18698893099969)"
"3750","Lincoln NC",2014,29,43,"",33,"",7,"",3,"",NA,"",NA,"",2,"Lincoln NC
 (35.486046210000495 81.22400479399965)"
"3751","Evansville IN",2014,29,60,"",42,"",13,"",4,"",1,"",NA,"",5,"Evansville IN
 (37.977082544000496 87.56404663099966)"
"3752","Allentown PA",2014,29,36,"",27,"",7,"",1,"",NA,"",1,"",3,"Allentown PA
 (40.602603640000495 75.47025702899964)"
"3753","Philadelphia PA",2014,29,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Philadelphia PA
 (39.95228281700048 75.16244984999963)"
"3754","Sacramento CA",2014,29,202,"",147,"",42,"",7,"",3,"",3,"",9,"Sacramento CA
 (38.5793341750005 121.49089596399972)"
"3755","Youngstown OH",2014,29,64,"",52,"",10,"",2,"",NA,"",NA,"",5,"Youngstown OH
 (41.09810084600048 80.65078761499967)"
"3756","New York City NY",2014,29,993,"",702,"",212,"",54,"",16,"",9,"",35,"New York City NY
 (40.71455220000047 74.00711891899965)"
"3757","Cleveland OH",2014,29,268,"",194,"",60,"",10,"",3,"",1,"",17,"Cleveland OH
 (41.50475289400049 81.69071765199965)"
"3758","St. Paul MN",2014,29,56,"",35,"",13,"",4,"",3,"",NA,"",6,"St. Paul MN
 (44.94382372600046 93.09331667699968)"
"3759","Milwaukee WI",2014,29,71,"",42,"",19,"",8,"",2,"",NA,"",2,"Milwaukee WI
 (43.04181028200048 87.90683717599967)"
"3760","Phoenix AZ",2014,29,176,"",99,"",52,"",13,"",3,"",8,"",10,"Phoenix AZ
 (33.44825282000045 112.07579699399969)"
"3761","Wichita KS",2014,29,89,"",54,"",23,"",8,"",4,"",NA,"",2,"Wichita KS
 (37.686983657000496 97.33557577399966)"
"3762","Charlotte NC",2014,29,141,"",94,"",35,"",9,"",2,"",1,"",8,"Charlotte NC
 (35.22286035400049 80.83795956899968)"
"3763","Reading PA",2014,29,31,"",26,"",3,"",1,"",1,"",NA,"",3,"Reading PA
 (40.3366219720005 75.92783660599963)"
"3764","Cambridge MA",2014,29,10,"",8,"",2,"",NA,"",NA,"",NA,"",1,"Cambridge MA
 (42.366791640000486 71.10600946299962)"
"3765","St. Louis MO",2014,29,117,"",54,"",37,"",15,"",5,"",6,"",2,"St. Louis MO
 (38.6277517260005 90.19955850799965)"
"3766","South Bend IN",2014,29,45,"",31,"",8,"",6,"",NA,"",NA,"",4,"South Bend IN
 (41.67905339900045 86.25403946499966)"
"3767","Indianapolis IN",2014,29,226,"",136,"",60,"",21,"",4,"",5,"",11,"Indianapolis IN
 (39.76691072200049 86.14995579899966)"
"3768","Duluth MN",2014,29,25,"",18,"",6,"",1,"",NA,"",NA,"",1,"Duluth MN
 (46.787955844000464 92.09984801699966)"
"3769","Wilmington DE",2014,29,6,"",6,"",NA,"",NA,"",NA,"",NA,"",2,"Wilmington DE
 (39.740234398000496 75.55083980499967)"
"3770","San Francisco CA",2014,29,96,"",64,"",14,"",14,"",3,"",1,"",11,"San Francisco CA
 (37.777123997000444 122.4196366869997)"
"3771","Long Beach CA",2014,29,65,"",38,"",21,"",1,"",2,"",3,"",11,"Long Beach CA
 (33.76672070300049 118.19239725799969)"
"3772","Richmond VA",2014,29,74,"",44,"",26,"",3,"",1,"",NA,"",2,"Richmond VA
 (37.540703789000474 77.43364879599966)"
"3773","San Jose CA",2014,29,210,"",157,"",40,"",7,"",3,"",3,"",17,"San Jose CA
 (37.33858362500047 121.8855697949997)"
"3774","Paterson NJ",2014,29,22,"",10,"",8,"",3,"",NA,"",1,"",NA,"Paterson NJ
 (40.91661430200048 74.17163854999967)"
"3775","Atlanta GA",2014,29,71,"",44,"",16,"",8,"",2,"",1,"",5,"Atlanta GA
 (33.748311225000464 84.39110931499965)"
"3776","Tampa FL",2014,29,85,"",50,"",23,"",6,"",3,"",3,"",5,"Tampa FL
 (27.94653446400048 82.45926644299965)"
"3777","Shreveport LA",2014,29,52,"",38,"",11,"",1,"",2,"",NA,"",6,"Shreveport LA
 (32.514612729000476 93.74726848099965)"
"3778","Columbus OH",2014,29,247,"",152,"",63,"",12,"",5,"",15,"",18,"Columbus OH
 (39.961992230000476 83.00274798399965)"
"3779","Savannah GA",2014,29,62,"",47,"",13,"",2,"",NA,"",NA,"",2,"Savannah GA
 (32.08091366600047 81.09118590699967)"
"3780","Omaha NE",2014,29,89,"",64,"",17,"",2,"",4,"",2,"",5,"Omaha NE
 (41.260691100000486 95.94058667399969)"
"3781","Detroit MI",2014,29,170,"",92,"",59,"",15,"",4,"",NA,"",13,"Detroit MI
 (42.33168322200049 83.04799903299966)"
"3782","Kansas City KS",2014,29,35,"",22,"",9,"",3,"",1,"",NA,"",1,"Kansas City KS
 (39.113521653000475 94.6268190079997)"
"3783","Yonkers NY",2014,29,5,"",3,"",1,"",NA,"",NA,"",1,"",NA,"Yonkers NY
 (40.93299168200048 73.89873881399967)"
"3784","Portland OR",2014,29,108,"",72,"",25,"",7,"",3,"",1,"",6,"Portland OR
 (45.51178871100046 122.6756275729997)"
"3785","Tucson AZ",2014,29,155,"",113,"",33,"",8,"",1,"",NA,"",4,"Tucson AZ
 (32.22155278400044 110.96975897999971)"
"3786","El Paso TX",2014,29,142,"",53,"",18,"",65,"",4,"",2,"",2,"El Paso TX
 (31.75916316000047 106.4874888869997)"
"3787","Baltimore MD",2014,29,125,"",67,"",36,"",14,"",4,"",4,"",9,"Baltimore MD
 (39.29058224000045 76.60925970899967)"
"3788","Ogden UT",2014,29,37,"",24,"",9,"",1,"",2,"",1,"",1,"Ogden UT
 (41.222362586000486 111.97047620299969)"
"3789","Fresno CA",2014,29,133,"",91,"",30,"",8,"",3,"",1,"",9,"Fresno CA
 (36.74068202600046 119.78572815899969)"
"3790","Boston MA",2014,29,161,"",94,"",44,"",11,"",8,"",4,"",12,"Boston MA
 (42.35866324500046 71.05673887699965)"
"3791","Berkeley CA",2014,29,7,"",6,"",1,"",NA,"",NA,"",NA,"",NA,"Berkeley CA
 (37.86988150300044 122.2705386769997)"
"3792","Erie PA",2014,29,46,"",34,"",9,"",3,"",NA,"",NA,"",4,"Erie PA
 (42.12944247200045 80.08523881899964)"
"3793","St. Petersburg FL",2014,29,53,"",30,"",19,"",2,"",2,"",NA,"",2,"St. Petersburg FL
 (27.771193346000473 82.63875661699967)"
"3794","Memphis TN",2014,29,170,"",104,"",43,"",13,"",5,"",5,"",10,"Memphis TN
 (35.14976284800048 90.04924570399965)"
"3795","Syracuse NY",2014,29,59,"",43,"",12,"",2,"",2,"",NA,"",4,"Syracuse NY
 (43.0499922730005 76.14738815999965)"
"3796","Miami FL",2014,29,39,"",28,"",9,"",1,"",1,"",NA,"",3,"Miami FL
 (25.774810115000435 80.19772778299966)"
"3797","Salt Lake City UT",2014,29,140,"",88,"",35,"",10,"",NA,"",7,"",5,"Salt Lake City UT
 (40.66726905100046 111.92357267799969)"
"3798","Jacksonville FL",2014,29,142,"",94,"",34,"",8,"",5,"",1,"",7,"Jacksonville FL
 (30.33147289700048 81.65621662999968)"
"3799","San Antonio TX",2014,29,271,"",182,"",64,"",19,"",3,"",3,"",12,"San Antonio TX
 (29.42458058800048 98.49460914499969)"
"3800","Grand Rapids MI",2014,29,58,"",42,"",13,"",1,"",NA,"",2,"",4,"Grand Rapids MI
 (42.96641270800046 85.67117986599965)"
"3801","Birmingham AL",2014,29,158,"",103,"",36,"",13,"",3,"",3,"",9,"Birmingham AL
 (33.52068040300048 86.81175909799964)"
"3802","Dallas TX",2014,29,231,"",143,"",55,"",18,"",7,"",8,"",11,"Dallas TX
 (32.778151412000454 96.79539918599966)"
"3803","Pueblo CO",2014,29,30,"",19,"",9,"",2,"",NA,"",NA,"",1,"Pueblo CO
 (38.263863080000476 104.61236614299969)"
"3804","Corpus Christi TX",2014,29,66,"",48,"",14,"",2,"",1,"",1,"",8,"Corpus Christi TX
 (27.796413705000475 97.40355953599965)"
"3805","Akron OH",2014,29,61,"",45,"",11,"",4,"",1,"",NA,"",2,"Akron OH
 (41.084193248000474 81.51405901999965)"
"3806","Austin TX",2014,29,81,"",57,"",13,"",6,"",2,"",3,"",4,"Austin TX
 (30.267593529000465 97.74298706799965)"
"3807","Honolulu HI",2014,29,82,"",53,"",17,"",7,"",4,"",1,"",15,"Honolulu HI
 (21.304853205000427 157.85774691599974)"
"3808","Scranton PA",2014,29,41,"",33,"",5,"",3,"",NA,"",NA,"",2,"Scranton PA
 (41.41015086800047 75.66077859599966)"
"3809","Knoxville TN",2014,29,106,"",70,"",31,"",5,"",NA,"",NA,"",3,"Knoxville TN
 (35.96049444300047 83.92090839299965)"
"3810","Denver CO",2014,29,93,"",59,"",24,"",6,"",1,"",3,"",1,"Denver CO
 (39.74001109000045 104.9922972059997)"
"3811","Utica NY",2014,29,15,"",15,"",NA,"",NA,"",NA,"",NA,"",NA,"Utica NY
 (43.09589091300046 75.24257707799967)"
"3812","Fort Worth TX",2014,29,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Fort Worth TX
 (32.75095254800044 97.33085951799967)"
"3813","New Bedford MA",2014,29,21,"",19,"",1,"",1,"",NA,"",NA,"",2,"New Bedford MA
 (41.637670036000486 70.93086932199964)"
"3814","Seattle WA",2014,29,114,"",70,"",10,"",1,"",3,"",3,"",2,"Seattle WA
 (47.60356894300048 122.32944721899969)"
"3815","Dayton OH",2014,29,112,"",86,"",18,"",7,"",1,"",NA,"",8,"Dayton OH
 (39.759112821000485 84.19443785699968)"
"3816","Lansing MI",2014,29,41,"",30,"",9,"",2,"",NA,"",NA,"",3,"Lansing MI
 (42.73194420800047 84.55224806999968)"
"3817","Springfield MA",2014,29,23,"",14,"",9,"",NA,"",NA,"",NA,"",1,"Springfield MA
 (42.10125212200046 72.58928991799962)"
"3818","San Diego CA",2014,29,162,"",102,"",44,"",8,"",5,"",3,"",6,"San Diego CA
 (32.71569228000044 117.16171662299968)"
"3819","Rochester NY",2014,29,133,"",99,"",28,"",5,"",1,"",NA,"",7,"Rochester NY
 (43.155804340000486 77.61631886899966)"
"3820","Lowell MA",2014,29,26,"",16,"",3,"",4,"",3,"",NA,"",6,"Lowell MA
 (42.64588146300048 71.31283694999962)"
"3821","New England",2014,30,508,"",355,"",108,"",32,"",6,"",7,"",39,""
"3822","Mid. Atlantic",2014,30,1755,"",1278,"",341,"",83,"",25,"",28,"",78,""
"3823","E.N. Central",2014,30,1977,"",1283,"",484,"",128,"",40,"",42,"",95,""
"3824","W.N. Central",2014,30,761,"",448,"",212,"",57,"",17,"",25,"",46,""
"3825","S. Atlantic",2014,30,1124,"",701,"",289,"",74,"",25,"",35,"",74,""
"3826","E.S. Central",2014,30,878,"",548,"",239,"",56,"",19,"",16,"",56,""
"3827","W.S. Central",2014,30,1612,"",1073,"",366,"",109,"",33,"",31,"",76,""
"3828","Mountain",2014,30,1226,"",855,"",252,"",79,"",21,"",16,"",70,""
"3829","Pacific",2014,30,1666,"",1141,"",346,"",108,"",34,"",25,"",116,""
"3830","Totalå¦",2014,30,11507,"",7682,"",2637,"",726,"",220,"",225,"",650,""
"3831","Wichita KS",2014,30,114,"",74,"",29,"",7,"",1,"",3,"",12,"Wichita KS
 (37.686983657000496 97.33557577399966)"
"3832","Chattanooga TN",2014,30,119,"",76,"",32,"",10,"",1,"",NA,"",7,"Chattanooga TN
 (35.04644289300046 85.30945730199966)"
"3833","Yonkers NY",2014,30,15,"",12,"",3,"",NA,"",NA,"",NA,"",NA,"Yonkers NY
 (40.93299168200048 73.89873881399967)"
"3834","Charlotte NC",2014,30,154,"",104,"",32,"",13,"",NA,"",5,"",7,"Charlotte NC
 (35.22286035400049 80.83795956899968)"
"3835","Buffalo NY",2014,30,82,"",52,"",22,"",5,"",1,"",2,"",4,"Buffalo NY
 (42.88544137700046 78.87845781999965)"
"3836","Somerville MA",2014,30,3,"",2,"",1,"",NA,"",NA,"",NA,"",NA,"Somerville MA
 (42.386683880000476 71.09825622299962)"
"3837","Kansas City MO",2014,30,113,"",63,"",41,"",5,"",1,"",1,"",6,"Kansas City MO
 (39.1029502720005 94.5830775179997)"
"3838","Albuquerque NM",2014,30,116,"",77,"",31,"",6,"",1,"",1,"",7,"Albuquerque NM
 (35.08423100300047 106.64904746099967)"
"3839","St. Petersburg FL",2014,30,59,"",39,"",14,"",4,"",1,"",1,"",8,"St. Petersburg FL
 (27.771193346000473 82.63875661699967)"
"3840","San Jose CA",2014,30,192,"",145,"",25,"",15,"",5,"",2,"",14,"San Jose CA
 (37.33858362500047 121.8855697949997)"
"3841","Reading PA",2014,30,33,"",31,"",2,"",NA,"",NA,"",NA,"",4,"Reading PA
 (40.3366219720005 75.92783660599963)"
"3842","Waterbury CT",2014,30,28,"",23,"",3,"",1,"",NA,"",1,"",1,"Waterbury CT
 (41.55407260800047 73.04616830899965)"
"3843","New Bedford MA",2014,30,22,"",16,"",5,"",1,"",NA,"",NA,"",1,"New Bedford MA
 (41.637670036000486 70.93086932199964)"
"3844","Philadelphia PA",2014,30,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Philadelphia PA
 (39.95228281700048 75.16244984999963)"
"3845","Camden NJ",2014,30,30,"",15,"",10,"",2,"",1,"",2,"",NA,"Camden NJ
 (39.94525309400046 75.11912817799964)"
"3846","Tulsa OK",2014,30,158,"",102,"",42,"",9,"",3,"",2,"",9,"Tulsa OK
 (36.149743157000444 95.99332745899966)"
"3847","Boise ID",2014,30,68,"",55,"",8,"",3,"",1,"",1,"",6,"Boise ID
 (43.60698392100045 116.1934057949997)"
"3848","Shreveport LA",2014,30,78,"",47,"",21,"",7,"",2,"",1,"",4,"Shreveport LA
 (32.514612729000476 93.74726848099965)"
"3849","Montgomery AL",2014,30,63,"",44,"",13,"",2,"",1,"",3,"",2,"Montgomery AL
 (32.38012350200046 86.30062589499965)"
"3850","New Haven CT",2014,30,33,"",20,"",7,"",5,"",1,"",NA,"",2,"New Haven CT
 (41.307621422000466 72.92461752399964)"
"3851","Paterson NJ",2014,30,14,"",8,"",3,"",3,"",NA,"",NA,"",NA,"Paterson NJ
 (40.91661430200048 74.17163854999967)"
"3852","Corpus Christi TX",2014,30,54,"",39,"",14,"",NA,"",1,"",NA,"",7,"Corpus Christi TX
 (27.796413705000475 97.40355953599965)"
"3853","Birmingham AL",2014,30,162,"",112,"",38,"",6,"",4,"",2,"",12,"Birmingham AL
 (33.52068040300048 86.81175909799964)"
"3854","El Paso TX",2014,30,112,"",79,"",19,"",8,"",4,"",2,"",6,"El Paso TX
 (31.75916316000047 106.4874888869997)"
"3855","Ogden UT",2014,30,31,"",22,"",8,"",NA,"",1,"",NA,"",NA,"Ogden UT
 (41.222362586000486 111.97047620299969)"
"3856","Schenectady NY",2014,30,15,"",12,"",3,"",NA,"",NA,"",NA,"",1,"Schenectady NY
 (42.8122500820005 73.94101987199963)"
"3857","Colorado Springs CO",2014,30,89,"",58,"",20,"",8,"",3,"",NA,"",5,"Colorado Springs CO
 (38.83343141300048 104.82180632899968)"
"3858","Newark NJ",2014,30,18,"",13,"",3,"",1,"",1,"",NA,"",1,"Newark NJ
 (40.73197019100047 74.17420658799966)"
"3859","Detroit MI",2014,30,113,"",55,"",39,"",13,"",3,"",3,"",8,"Detroit MI
 (42.33168322200049 83.04799903299966)"
"3860","Indianapolis IN",2014,30,203,"",113,"",59,"",19,"",4,"",8,"",13,"Indianapolis IN
 (39.76691072200049 86.14995579899966)"
"3861","San Diego CA",2014,30,163,"",102,"",31,"",12,"",2,"",4,"",8,"San Diego CA
 (32.71569228000044 117.16171662299968)"
"3862","Omaha NE",2014,30,86,"",56,"",17,"",8,"",2,"",3,"",7,"Omaha NE
 (41.260691100000486 95.94058667399969)"
"3863","Santa Cruz CA",2014,30,27,"",20,"",5,"",2,"",NA,"",NA,"",3,"Santa Cruz CA
 (36.974020590000464 122.03094750099973)"
"3864","Long Beach CA",2014,30,51,"",35,"",12,"",3,"",1,"",NA,"",7,"Long Beach CA
 (33.76672070300049 118.19239725799969)"
"3865","South Bend IN",2014,30,36,"",24,"",7,"",1,"",1,"",3,"",2,"South Bend IN
 (41.67905339900045 86.25403946499966)"
"3866","Tucson AZ",2014,30,185,"",139,"",37,"",4,"",1,"",2,"",5,"Tucson AZ
 (32.22155278400044 110.96975897999971)"
"3867","Pasadena CA",2014,30,16,"",13,"",1,"",1,"",1,"",NA,"",3,"Pasadena CA
 (34.14745120700047 118.14426554199969)"
"3868","Elizabeth NJ",2014,30,11,"",7,"",3,"",1,"",NA,"",NA,"",1,"Elizabeth NJ
 (40.6638122490005 74.21143642799967)"
"3869","Cambridge MA",2014,30,10,"",9,"",1,"",NA,"",NA,"",NA,"",NA,"Cambridge MA
 (42.366791640000486 71.10600946299962)"
"3870","Berkeley CA",2014,30,8,"",7,"",1,"",NA,"",NA,"",NA,"",NA,"Berkeley CA
 (37.86988150300044 122.2705386769997)"
"3871","Springfield MA",2014,30,31,"",22,"",9,"",NA,"",NA,"",NA,"",2,"Springfield MA
 (42.10125212200046 72.58928991799962)"
"3872","St. Louis MO",2014,30,231,"",104,"",79,"",27,"",9,"",12,"",7,"St. Louis MO
 (38.6277517260005 90.19955850799965)"
"3873","Portland OR",2014,30,144,"",96,"",40,"",4,"",2,"",2,"",6,"Portland OR
 (45.51178871100046 122.6756275729997)"
"3874","Wilmington DE",2014,30,7,"",4,"",3,"",NA,"",NA,"",NA,"",NA,"Wilmington DE
 (39.740234398000496 75.55083980499967)"
"3875","Lowell MA",2014,30,22,"",19,"",2,"",1,"",NA,"",NA,"",2,"Lowell MA
 (42.64588146300048 71.31283694999962)"
"3876","Trenton NJ",2014,30,12,"",8,"",3,"",1,"",NA,"",NA,"",NA,"Trenton NJ
 (40.21788039500046 74.75939751899966)"
"3877","Nashville TN",2014,30,51,"",31,"",14,"",4,"",1,"",1,"",3,"Nashville TN
 (36.16784000400048 86.77815577199965)"
"3878","Providence RI",2014,30,56,"",40,"",11,"",2,"",1,"",2,"",2,"Providence RI
 (41.823872836000476 71.41198998599964)"
"3879","Washington D.C.",2014,30,132,"",75,"",40,"",2,"",7,"",8,"",10,"Washington D.C.
 (38.89037038100048 77.03195864199967)"
"3880","Rochester NY",2014,30,124,"",105,"",15,"",1,"",2,"",1,"",9,"Rochester NY
 (43.155804340000486 77.61631886899966)"
"3881","Phoenix AZ",2014,30,169,"",107,"",31,"",21,"",6,"",4,"",7,"Phoenix AZ
 (33.44825282000045 112.07579699399969)"
"3882","Albany NY",2014,30,38,"",26,"",9,"",2,"",1,"",NA,"",2,"Albany NY
 (42.65155347600046 73.75520562899965)"
"3883","Spokane WA",2014,30,66,"",46,"",15,"",4,"",1,"",NA,"",2,"Spokane WA
 (47.65725655300048 117.41227666799972)"
"3884","Youngstown OH",2014,30,57,"",44,"",12,"",1,"",NA,"",NA,"",1,"Youngstown OH
 (41.09810084600048 80.65078761499967)"
"3885","Mobile AL",2014,30,87,"",51,"",27,"",5,"",3,"",1,"",5,"Mobile AL
 (30.68639351000047 88.05323763099966)"
"3886","Baltimore MD",2014,30,170,"",88,"",59,"",13,"",5,"",5,"",7,"Baltimore MD
 (39.29058224000045 76.60925970899967)"
"3887","Rockford IL",2014,30,64,"",41,"",14,"",6,"",2,"",1,"",2,"Rockford IL
 (42.2669016910005 89.07834897499964)"
"3888","Baton Rouge LA",2014,30,93,"",69,"",18,"",5,"",1,"",NA,"",3,"Baton Rouge LA
 (30.44334106600047 91.18698893099969)"
"3889","Akron OH",2014,30,54,"",32,"",13,"",7,"",1,"",1,"",3,"Akron OH
 (41.084193248000474 81.51405901999965)"
"3890","Boston MA",2014,30,121,"",73,"",31,"",10,"",3,"",4,"",11,"Boston MA
 (42.35866324500046 71.05673887699965)"
"3891","Minneapolis MN",2014,30,60,"",34,"",14,"",5,"",2,"",5,"",6,"Minneapolis MN
 (44.9790304010005 93.26492855899966)"
"3892","Bridgeport CT",2014,30,40,"",31,"",6,"",3,"",NA,"",NA,"",5,"Bridgeport CT
 (41.1818813860005 73.19126911399962)"
"3893","Austin TX",2014,30,90,"",56,"",23,"",7,"",2,"",2,"",4,"Austin TX
 (30.267593529000465 97.74298706799965)"
"3894","Canton OH",2014,30,22,"",17,"",4,"",1,"",NA,"",NA,"",4,"Canton OH
 (40.79781020000047 81.37156644799967)"
"3895","Memphis TN",2014,30,180,"",105,"",51,"",11,"",5,"",8,"",19,"Memphis TN
 (35.14976284800048 90.04924570399965)"
"3896","Dallas TX",2014,30,193,"",102,"",55,"",21,"",7,"",8,"",8,"Dallas TX
 (32.778151412000454 96.79539918599966)"
"3897","Worcester MA",2014,30,56,"",40,"",12,"",4,"",NA,"",NA,"",6,"Worcester MA
 (42.2634136260005 71.80218873199965)"
"3898","Peoria IL",2014,30,49,"",40,"",6,"",NA,"",2,"",1,"",2,"Peoria IL
 (40.69214105000049 89.58775824399964)"
"3899","Denver CO",2014,30,77,"",45,"",26,"",4,"",1,"",1,"",4,"Denver CO
 (39.74001109000045 104.9922972059997)"
"3900","New Orleans LA",2014,30,47,"",29,"",11,"",5,"",1,"",1,"",2,"New Orleans LA
 (29.95370345100048 90.07774868499968)"
"3901","Tampa FL",2014,30,114,"",80,"",23,"",8,"",NA,"",3,"",10,"Tampa FL
 (27.94653446400048 82.45926644299965)"
"3902","San Antonio TX",2014,30,286,"",198,"",60,"",19,"",4,"",5,"",18,"San Antonio TX
 (29.42458058800048 98.49460914499969)"
"3903","Little Rock AR",2014,30,60,"",43,"",8,"",5,"",1,"",3,"",2,"Little Rock AR
 (34.74865329300047 92.27448794899965)"
"3904","Houston TX",2014,30,441,"",309,"",95,"",23,"",7,"",7,"",13,"Houston TX
 (29.760453065000434 95.36977674999969)"
"3905","Tacoma WA",2014,30,129,"",94,"",26,"",5,"",2,"",2,"",8,"Tacoma WA
 (47.255128716000456 122.44163694999969)"
"3906","Salt Lake City UT",2014,30,103,"",73,"",17,"",7,"",2,"",3,"",9,"Salt Lake City UT
 (40.66726905100046 111.92357267799969)"
"3907","Fort Wayne IN",2014,30,68,"",53,"",8,"",4,"",3,"",NA,"",4,"Fort Wayne IN
 (41.080263035000485 85.13830990099967)"
"3908","Pittsburgh PAå¤",2014,30,33,"",27,"",4,"",2,"",NA,"",NA,"",3,"Pittsburgh PA
 (40.438343044000476 79.99746553899968)"
"3909","Lincoln NC",2014,30,47,"",37,"",7,"",1,"",2,"",NA,"",2,"Lincoln NC
 (35.486046210000495 81.22400479399965)"
"3910","Evansville IN",2014,30,43,"",29,"",12,"",2,"",NA,"",NA,"",4,"Evansville IN
 (37.977082544000496 87.56404663099966)"
"3911","Las Vegas NV",2014,30,359,"",255,"",70,"",26,"",4,"",4,"",26,"Las Vegas NV
 (36.17191313400048 115.13996564999968)"
"3912","New York City NY",2014,30,1128,"",811,"",232,"",54,"",15,"",16,"",41,"New York City NY
 (40.71455220000047 74.00711891899965)"
"3913","Syracuse NY",2014,30,63,"",49,"",8,"",2,"",1,"",3,"",5,"Syracuse NY
 (43.0499922730005 76.14738815999965)"
"3914","Richmond VA",2014,30,53,"",30,"",16,"",5,"",1,"",1,"",1,"Richmond VA
 (37.540703789000474 77.43364879599966)"
"3915","Columbus OH",2014,30,215,"",144,"",50,"",13,"",3,"",5,"",15,"Columbus OH
 (39.961992230000476 83.00274798399965)"
"3916","Norfolk VA",2014,30,61,"",34,"",13,"",7,"",3,"",4,"",6,"Norfolk VA
 (36.84682012200045 76.28505728799968)"
"3917","Cincinnati OH",2014,30,108,"",62,"",32,"",4,"",3,"",7,"",2,"Cincinnati OH
 (39.1071305910005 84.50412975199964)"
"3918","Savannah GA",2014,30,59,"",37,"",15,"",4,"",NA,"",3,"",4,"Savannah GA
 (32.08091366600047 81.09118590699967)"
"3919","Honolulu HI",2014,30,64,"",46,"",10,"",2,"",4,"",2,"",6,"Honolulu HI
 (21.304853205000427 157.85774691599974)"
"3920","Allentown PA",2014,30,28,"",22,"",5,"",NA,"",NA,"",1,"",1,"Allentown PA
 (40.602603640000495 75.47025702899964)"
